Comment,Polarity,Sentiment
can confirm: he never gave us up,0.0,Neutral
Nice try LOL cuz when I clicked it I got an ad,0.7,Positive
I love this song❤🎶,0.5,Positive
this isn't the link to how to blend a blender,0.0,Neutral
you got rickrolled,0.0,Neutral
Why do some people hate this song? It's a banger,-0.8,Negative
"A song everyone loves to pretened to hate, Rick has such a great voice.",0.0,Neutral
Bro i did not get rick rolled today  i got a dissy head of whating this  5981  times,0.0,Neutral
"Dude I saw YouTube and was like ""oh my God it's gonna be a rolling rick""",0.0,Neutral
i got rickrolled by Pysch Engine,0.0,Neutral
Eskil,0.0,Neutral
E,0.0,Neutral
Can you pin me 😢,0.0,Neutral
Golshi's qr code got me here 🥀💔,0.0,Neutral
This is 15 yr and this is still a masterpiece ❤,0.0,Neutral
what the,0.0,Neutral
This isn't Ivan's cover of Ruler of my heart..,0.0,Neutral
I actually got Rick rolled,0.0,Neutral
Ok but why did this recommended to  me??,0.5,Positive
Benide şarkiya attti,0.0,Neutral
Me trying to rickroll my friend,0.0,Neutral
They tried to rickroll us on Nexus mods (too),0.0,Neutral
Got me good THM.... Got me good.....,0.7,Positive
Bro the qr code says free robux😥,0.4,Positive
pero decia robux gratis :(,-0.75,Negative
😢,0.0,Neutral
"RICKROLLS DONT COUNT IF YOU EXPECT THEM ACCORDING TO THE RICKROLL LORE! DONT GET TRICKED BY THE RICKROLL, ALWAYS EXPECT IT!!!",0.0,Neutral
"Entre a este video solo porque apareció el man del principio en la pantalla principal del animador que utilizó, ya entiendo por qué me enviaron aquí",0.0,Neutral
I think they gave me the wrong link,-0.5,Negative
Who ppl in 2025?,0.0,Neutral
listening now 07-26-25😂😂😂,0.0,Neutral
Udah Tobat?,0.0,Neutral
Broooooooo,0.0,Neutral
This is a British song. Beautiful and unique. I heard it back in1988,0.30625,Positive
Never gonna plush you up never gonna makeship now,0.0,Neutral
I have been fooled once again,0.0,Neutral
QR. !,0.0,Neutral
Đạo lý nhiều thế parky😂,0.0,Neutral
"This is to this day my fav song, started listen to this song when I was playing a game online and I got rickrolled then I love the song, my dream to meet the man in person.",0.04999999999999999,Positive
"Love this song 
Reminds me of mick jager and davie bowie . 
Remember the video 
Them dancing in the street david had a similar trench . Even the back ground with the arc on the walls",0.16666666666666666,Positive
POV: You trusted the House Judiciary GOP twitter to release the Epstein Files,0.0,Neutral
Some guy had a QR code on his car and I should’ve never scanned it😪,0.0,Neutral
just got rickrolled by a horse girl,0.0,Neutral
Rick Rolling myself coz why not? Love this song ❤😂,-0.25,Negative
I CAN'T BELIEVE JOE HAWLEY JUST RICK ROLLED ME,0.0,Neutral
Halah permen doang murahan robux nya aja dari pada permen doang kan murah emas kek  atau tablet permen ma di rumah gw banyak mau cokelat kek ras permen yg lain,0.0,Neutral
Fuji,0.0,Neutral
Rick roll,0.0,Neutral
Everybody subscribe to him the Rick roll,0.0,Neutral
I got rickrolled,0.0,Neutral
